problem_id,title,difficulty,acceptance_rate,leetcode_url,primary_family,sub_family,core_reduction,key_primitives,practice_priority,notes,source
510,Inorder Successor in BST II,Medium,61.1%,https://leetcode.com/problems/inorder-successor-in-bst-ii/,Inorder stream and sorted-order reasoning,successor with parent pointer,if right subtree: min(right); else climb until node is left child,inorder_nodes; reverse_inorder_nodes; iterative_inorder_stack; predecessor/successor; merge_sorted_streams; bisect,High,,"User-provided LeetCode BST list screenshot/text, May 2026"
530,Minimum Absolute Difference in BST,Easy,59.4%,https://leetcode.com/problems/minimum-absolute-difference-in-bst/,Inorder stream and sorted-order reasoning,adjacent difference,minimum difference occurs between adjacent sorted keys,inorder_nodes; reverse_inorder_nodes; iterative_inorder_stack; predecessor/successor; merge_sorted_streams; bisect,Very High,,"User-provided LeetCode BST list screenshot/text, May 2026"
538,Convert BST to Greater Tree,Medium,71.6%,https://leetcode.com/problems/convert-bst-to-greater-tree/,Inorder stream and sorted-order reasoning,reverse inorder suffix sum,visit larger keys first and carry accumulated suffix sum,inorder_nodes; reverse_inorder_nodes; iterative_inorder_stack; predecessor/successor; merge_sorted_streams; bisect,Very High,,"User-provided LeetCode BST list screenshot/text, May 2026"
653,Two Sum IV - Input is a BST,Easy,63.3%,https://leetcode.com/problems/two-sum-iv-input-is-a-bst/,Inorder stream and sorted-order reasoning,two-sum over sorted values/hash,search complement using set or two-pointer sorted array,inorder_nodes; reverse_inorder_nodes; iterative_inorder_stack; predecessor/successor; merge_sorted_streams; bisect,High,,"User-provided LeetCode BST list screenshot/text, May 2026"
669,Trim a Binary Search Tree,Medium,66.7%,https://leetcode.com/problems/trim-a-binary-search-tree/,BST navigation and pointer mutation,range pruning,drop entire invalid subtrees using ordering,compare-and-branch; min/max; deleteMin; trim/split recursion; pointer reconnect,High,,"User-provided LeetCode BST list screenshot/text, May 2026"
700,Search in a Binary Search Tree,Easy,82.7%,https://leetcode.com/problems/search-in-a-binary-search-tree/,BST navigation and pointer mutation,search,"walk by compare(key, node.val)",compare-and-branch; min/max; deleteMin; trim/split recursion; pointer reconnect,High,,"User-provided LeetCode BST list screenshot/text, May 2026"
701,Insert into a Binary Search Tree,Medium,73.5%,https://leetcode.com/problems/insert-into-a-binary-search-tree/,BST navigation and pointer mutation,insert,"standard BST descent, attach at null slot",compare-and-branch; min/max; deleteMin; trim/split recursion; pointer reconnect,High,,"User-provided LeetCode BST list screenshot/text, May 2026"
703,Kth Largest Element in a Stream,Easy,61.0%,https://leetcode.com/problems/kth-largest-element-in-a-stream/,Streaming order statistic,kth largest in stream,maintain min-heap of size k,heap push/pop; order statistic invariant,Medium,"Tagged BST in LeetCode list but canonical solution is heap, not tree.","User-provided LeetCode BST list screenshot/text, May 2026"
776,Split BST,Medium,82.2%,https://leetcode.com/problems/split-bst/,BST navigation and pointer mutation,split by pivot,recursively partition tree into <= target and > target,compare-and-branch; min/max; deleteMin; trim/split recursion; pointer reconnect,High,,"User-provided LeetCode BST list screenshot/text, May 2026"
783,Minimum Distance Between BST Nodes,Easy,61.3%,https://leetcode.com/problems/minimum-distance-between-bst-nodes/,Inorder stream and sorted-order reasoning,adjacent distance,minimum distance occurs between adjacent sorted keys,inorder_nodes; reverse_inorder_nodes; iterative_inorder_stack; predecessor/successor; merge_sorted_streams; bisect,High,,"User-provided LeetCode BST list screenshot/text, May 2026"
897,Increasing Order Search Tree,Easy,79.0%,https://leetcode.com/problems/increasing-order-search-tree/,Inorder stream and sorted-order reasoning,inorder rewiring,rewire nodes in increasing order into right-only chain,inorder_nodes; reverse_inorder_nodes; iterative_inorder_stack; predecessor/successor; merge_sorted_streams; bisect,Very High,,"User-provided LeetCode BST list screenshot/text, May 2026"
938,Range Sum of BST,Easy,87.6%,https://leetcode.com/problems/range-sum-of-bst/,Unclassified,,,,Medium,,"User-provided LeetCode BST list screenshot/text, May 2026"
1008,Construct Binary Search Tree from Preorder Traversal,Medium,84.2%,https://leetcode.com/problems/construct-binary-search-tree-from-preorder-traversal/,"BST construction, reconstruction, and combinatorics",construct from preorder,preorder + upper bound reconstructs BST,"build_balanced(lo,hi); construct_with_bounds; inorder_collect; Catalan/root-split DP; order-stat/predecessor map",High,,"User-provided LeetCode BST list screenshot/text, May 2026"
1038,Binary Search Tree to Greater Sum Tree,Medium,88.4%,https://leetcode.com/problems/binary-search-tree-to-greater-sum-tree/,Inorder stream and sorted-order reasoning,reverse inorder suffix sum,visit larger keys first and carry accumulated suffix sum,inorder_nodes; reverse_inorder_nodes; iterative_inorder_stack; predecessor/successor; merge_sorted_streams; bisect,High,,"User-provided LeetCode BST list screenshot/text, May 2026"
1214,Two Sum BSTs,Medium,68.2%,https://leetcode.com/problems/two-sum-bsts/,Inorder stream and sorted-order reasoning,two-sum across two BST streams,merge/search across two sorted streams,inorder_nodes; reverse_inorder_nodes; iterative_inorder_stack; predecessor/successor; merge_sorted_streams; bisect,High,,"User-provided LeetCode BST list screenshot/text, May 2026"
1305,All Elements in Two Binary Search Trees,Medium,80.3%,https://leetcode.com/problems/all-elements-in-two-binary-search-trees/,Inorder stream and sorted-order reasoning,merge two sorted inorder streams,merge two sorted generators,inorder_nodes; reverse_inorder_nodes; iterative_inorder_stack; predecessor/successor; merge_sorted_streams; bisect,Very High,,"User-provided LeetCode BST list screenshot/text, May 2026"
1373,Maximum Sum BST in Binary Tree,Hard,47.2%,https://leetcode.com/problems/maximum-sum-bst-in-binary-tree/,Postorder BST certificate / tree DP,maximum-sum BST subtree,"subtree returns validity, min, max, sum and updates global best",postorder certificate; min/max bounds; global best update,Very High,,"User-provided LeetCode BST list screenshot/text, May 2026"
1382,Balance a Binary Search Tree,Medium,86.3%,https://leetcode.com/problems/balance-a-binary-search-tree/,"BST construction, reconstruction, and combinatorics",rebalance via inorder + build,"inorder to sorted array, rebuild with medians","build_balanced(lo,hi); construct_with_bounds; inorder_collect; Catalan/root-split DP; order-stat/predecessor map",High,,"User-provided LeetCode BST list screenshot/text, May 2026"
1569,Number of Ways to Reorder Array to Get Same BST,Hard,54.1%,https://leetcode.com/problems/number-of-ways-to-reorder-array-to-get-same-bst/,"BST construction, reconstruction, and combinatorics",count insertion orders preserving BST,left/right insertion subsequences can interleave; multiply binomial choices recursively,"build_balanced(lo,hi); construct_with_bounds; inorder_collect; Catalan/root-split DP; order-stat/predecessor map",High,,"User-provided LeetCode BST list screenshot/text, May 2026"
1586,Binary Search Tree Iterator II,Medium,63.4%,https://leetcode.com/problems/binary-search-tree-iterator-ii/,Inorder stream and sorted-order reasoning,bidirectional lazy iterator,stack + history list for next/prev,inorder_nodes; reverse_inorder_nodes; iterative_inorder_stack; predecessor/successor; merge_sorted_streams; bisect,High,,"User-provided LeetCode BST list screenshot/text, May 2026"
1902,Depth of BST Given Insertion Order,Medium,42.6%,https://leetcode.com/problems/depth-of-bst-given-insertion-order/,"BST construction, reconstruction, and combinatorics",simulate insertion depth/order statistics,depth determined by predecessor/successor among previously inserted keys,"build_balanced(lo,hi); construct_with_bounds; inorder_collect; Catalan/root-split DP; order-stat/predecessor map",Medium,,"User-provided LeetCode BST list screenshot/text, May 2026"
1932,Merge BSTs to Create Single BST,Hard,38.7%,https://leetcode.com/problems/merge-bsts-to-create-single-bst/,"BST construction, reconstruction, and combinatorics",merge leaf-root matching BSTs,"attach trees at leaves, then validate global BST and coverage","build_balanced(lo,hi); construct_with_bounds; inorder_collect; Catalan/root-split DP; order-stat/predecessor map",High,,"User-provided LeetCode BST list screenshot/text, May 2026"
2476,Closest Nodes Queries in a Binary Search Tree,Medium,44.4%,https://leetcode.com/problems/closest-nodes-queries-in-a-binary-search-tree/,Inorder stream and sorted-order reasoning,offline inorder array + binary search,"flatten once to sorted array, answer each query by bisect",inorder_nodes; reverse_inorder_nodes; iterative_inorder_stack; predecessor/successor; merge_sorted_streams; bisect,High,,"User-provided LeetCode BST list screenshot/text, May 2026"
3831,Median of a Binary Search Tree Level,Medium,88.1%,https://leetcode.com/problems/median-of-a-binary-search-tree-level/,Level-order + BST values,median per level,"collect level values, compute median",BFS level frame; sort/select median,Low,,"User-provided LeetCode BST list screenshot/text, May 2026"
