number,title,difficulty,acceptance,family,statement_brief,url,slug,source_list
106,Construct Binary Tree from Inorder and Postorder Traversal,Medium,68.5%,Construction from traversals,Reconstruct a binary tree from inorder and postorder traversal arrays.,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal/,construct-binary-tree-from-inorder-and-postorder-traversal,"uploaded LeetCode Binary Tree list, full 180 paste"
107,Binary Tree Level Order Traversal II,Medium,68.1%,BFS / level traversal,Return level-order values from bottom level to top level.,https://leetcode.com/problems/binary-tree-level-order-traversal-ii/,binary-tree-level-order-traversal-ii,"uploaded LeetCode Binary Tree list, full 180 paste"
108,Convert Sorted Array to Binary Search Tree,Easy,75.5%,BST construction,Convert a sorted array into a height-balanced BST.,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/,convert-sorted-array-to-binary-search-tree,"uploaded LeetCode Binary Tree list, full 180 paste"
109,Convert Sorted List to Binary Search Tree,Medium,66.5%,BST construction,Convert a sorted linked list into a height-balanced BST.,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree/,convert-sorted-list-to-binary-search-tree,"uploaded LeetCode Binary Tree list, full 180 paste"
110,Balanced Binary Tree,Easy,58.3%,Depth / height / balance,Check whether every node's left and right subtree heights differ by at most one.,https://leetcode.com/problems/balanced-binary-tree/,balanced-binary-tree,"uploaded LeetCode Binary Tree list, full 180 paste"
111,Minimum Depth of Binary Tree,Easy,52.8%,Depth / height,Compute the shortest depth from root to any real leaf node.,https://leetcode.com/problems/minimum-depth-of-binary-tree/,minimum-depth-of-binary-tree,"uploaded LeetCode Binary Tree list, full 180 paste"
112,Path Sum,Easy,54.8%,Root-to-leaf path,Determine whether some root-to-leaf path sums to the target.,https://leetcode.com/problems/path-sum/,path-sum,"uploaded LeetCode Binary Tree list, full 180 paste"
113,Path Sum II,Medium,62.1%,Root-to-leaf path,Return all root-to-leaf paths whose values sum to the target.,https://leetcode.com/problems/path-sum-ii/,path-sum-ii,"uploaded LeetCode Binary Tree list, full 180 paste"
114,Flatten Binary Tree to Linked List,Medium,70.6%,Mutation / rewiring,Flatten a binary tree in-place into a right-child-only chain in preorder order.,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/,flatten-binary-tree-to-linked-list,"uploaded LeetCode Binary Tree list, full 180 paste"
116,Populating Next Right Pointers in Each Node,Medium,67.1%,Next-pointer linking,Populate each node's next pointer to its adjacent node on the right in a perfect binary tree.,https://leetcode.com/problems/populating-next-right-pointers-in-each-node/,populating-next-right-pointers-in-each-node,"uploaded LeetCode Binary Tree list, full 180 paste"
117,Populating Next Right Pointers in Each Node II,Medium,57.5%,Next-pointer linking,Populate each node's next pointer to its adjacent node on the right in any binary tree.,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii/,populating-next-right-pointers-in-each-node-ii,"uploaded LeetCode Binary Tree list, full 180 paste"
124,Binary Tree Maximum Path Sum,Hard,42.3%,Tree DP / global optimum,Find the maximum possible sum of any non-empty path in a binary tree.,https://leetcode.com/problems/binary-tree-maximum-path-sum/,binary-tree-maximum-path-sum,"uploaded LeetCode Binary Tree list, full 180 paste"
129,Sum Root to Leaf Numbers,Medium,69.9%,Root-to-leaf path,Treat each root-to-leaf path as a number and return the total of those numbers.,https://leetcode.com/problems/sum-root-to-leaf-numbers/,sum-root-to-leaf-numbers,"uploaded LeetCode Binary Tree list, full 180 paste"
144,Binary Tree Preorder Traversal,Easy,75.6%,DFS traversal,Return the preorder traversal of a binary tree's node values.,https://leetcode.com/problems/binary-tree-preorder-traversal/,binary-tree-preorder-traversal,"uploaded LeetCode Binary Tree list, full 180 paste"
145,Binary Tree Postorder Traversal,Easy,78.0%,DFS traversal,Return the postorder traversal of a binary tree's node values.,https://leetcode.com/problems/binary-tree-postorder-traversal/,binary-tree-postorder-traversal,"uploaded LeetCode Binary Tree list, full 180 paste"
156,Binary Tree Upside Down,Medium,65.5%,Mutation / rewiring,Transform a binary tree so the original left spine becomes the new right/upside-down structure.,https://leetcode.com/problems/binary-tree-upside-down/,binary-tree-upside-down,"uploaded LeetCode Binary Tree list, full 180 paste"
173,Binary Search Tree Iterator,Medium,76.4%,BST iterator,Implement an iterator over a BST that returns values in ascending order.,https://leetcode.com/problems/binary-search-tree-iterator/,binary-search-tree-iterator,"uploaded LeetCode Binary Tree list, full 180 paste"
199,Binary Tree Right Side View,Medium,70.1%,BFS / view,Return the values visible when the tree is viewed from the right side.,https://leetcode.com/problems/binary-tree-right-side-view/,binary-tree-right-side-view,"uploaded LeetCode Binary Tree list, full 180 paste"
222,Count Complete Tree Nodes,Easy,72.5%,Complete tree,Count nodes in a complete binary tree more efficiently than naive traversal when possible.,https://leetcode.com/problems/count-complete-tree-nodes/,count-complete-tree-nodes,"uploaded LeetCode Binary Tree list, full 180 paste"
226,Invert Binary Tree,Easy,80.0%,Mutation / rewiring,Invert a binary tree by swapping left and right children recursively or iteratively.,https://leetcode.com/problems/invert-binary-tree/,invert-binary-tree,"uploaded LeetCode Binary Tree list, full 180 paste"
230,Kth Smallest Element in a BST,Medium,76.8%,BST inorder query,Return the kth smallest value in a BST.,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,kth-smallest-element-in-a-bst,"uploaded LeetCode Binary Tree list, full 180 paste"
235,Lowest Common Ancestor of a Binary Search Tree,Medium,70.5%,BST LCA,Find the lowest common ancestor of two nodes in a BST using ordering properties.,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,lowest-common-ancestor-of-a-binary-search-tree,"uploaded LeetCode Binary Tree list, full 180 paste"
236,Lowest Common Ancestor of a Binary Tree,Medium,69.2%,Unclassified,Find the lowest common ancestor of two nodes in a general binary tree.,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/,lowest-common-ancestor-of-a-binary-tree,"uploaded LeetCode Binary Tree list, full 180 paste"
250,Count Univalue Subtrees,Medium,57.5%,Subtree property DP,Count subtrees whose nodes all have the same value.,https://leetcode.com/problems/count-univalue-subtrees/,count-univalue-subtrees,"uploaded LeetCode Binary Tree list, full 180 paste"
255,Verify Preorder Sequence in Binary Search Tree,Medium,51.8%,BST preorder validation,Verify whether an array can be the preorder traversal of some BST.,https://leetcode.com/problems/verify-preorder-sequence-in-binary-search-tree/,verify-preorder-sequence-in-binary-search-tree,"uploaded LeetCode Binary Tree list, full 180 paste"
257,Binary Tree Paths,Easy,68.6%,Root-to-leaf path,Return all root-to-leaf paths as strings/lists of node values.,https://leetcode.com/problems/binary-tree-paths/,binary-tree-paths,"uploaded LeetCode Binary Tree list, full 180 paste"
270,Closest Binary Search Tree Value,Easy,49.2%,BST closest value,Find the BST value closest to a target number.,https://leetcode.com/problems/closest-binary-search-tree-value/,closest-binary-search-tree-value,"uploaded LeetCode Binary Tree list, full 180 paste"
272,Closest Binary Search Tree Value II,Hard,61.2%,BST closest values,Return k values in a BST that are closest to a target number.,https://leetcode.com/problems/closest-binary-search-tree-value-ii/,closest-binary-search-tree-value-ii,"uploaded LeetCode Binary Tree list, full 180 paste"
285,Inorder Successor in BST,Medium,51.2%,BST successor,Find the inorder successor of a given node in a BST.,https://leetcode.com/problems/inorder-successor-in-bst/,inorder-successor-in-bst,"uploaded LeetCode Binary Tree list, full 180 paste"
297,Serialize and Deserialize Binary Tree,Hard,60.7%,Serialization,Design serialization and deserialization for arbitrary binary trees.,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,serialize-and-deserialize-binary-tree,"uploaded LeetCode Binary Tree list, full 180 paste"
298,Binary Tree Longest Consecutive Sequence,Medium,54.7%,Tree DP / consecutive path,Find the longest parent-to-child path where values increase consecutively by one.,https://leetcode.com/problems/binary-tree-longest-consecutive-sequence/,binary-tree-longest-consecutive-sequence,"uploaded LeetCode Binary Tree list, full 180 paste"
314,Binary Tree Vertical Order Traversal,Medium,57.8%,Coordinate / vertical order,Group binary-tree nodes by vertical column in top-to-bottom order.,https://leetcode.com/problems/binary-tree-vertical-order-traversal/,binary-tree-vertical-order-traversal,"uploaded LeetCode Binary Tree list, full 180 paste"
331,Verify Preorder Serialization of a Binary Tree,Medium,47.3%,Serialization validation,Validate whether a preorder serialization string represents a valid binary tree.,https://leetcode.com/problems/verify-preorder-serialization-of-a-binary-tree/,verify-preorder-serialization-of-a-binary-tree,"uploaded LeetCode Binary Tree list, full 180 paste"
333,Largest BST Subtree,Medium,45.9%,BST-in-tree DP,Find the largest subtree that itself satisfies the BST invariant.,https://leetcode.com/problems/largest-bst-subtree/,largest-bst-subtree,"uploaded LeetCode Binary Tree list, full 180 paste"
337,House Robber III,Medium,55.9%,Tree DP / include-exclude,Maximize robbed value from tree nodes without robbing directly connected nodes.,https://leetcode.com/problems/house-robber-iii/,house-robber-iii,"uploaded LeetCode Binary Tree list, full 180 paste"
366,Find Leaves of Binary Tree,Medium,81.3%,Postorder height buckets,"Repeatedly collect and remove leaves, returning groups by removal round/height.",https://leetcode.com/problems/find-leaves-of-binary-tree/,find-leaves-of-binary-tree,"uploaded LeetCode Binary Tree list, full 180 paste"
404,Sum of Left Leaves,Easy,62.6%,Leaf logic,Sum the values of all leaves that are left children.,https://leetcode.com/problems/sum-of-left-leaves/,sum-of-left-leaves,"uploaded LeetCode Binary Tree list, full 180 paste"
426,Convert Binary Search Tree to Sorted Doubly Linked List,Medium,65.6%,BST to linked structure,Convert a BST to a sorted circular doubly linked list in-place.,https://leetcode.com/problems/convert-binary-search-tree-to-sorted-doubly-linked-list/,convert-binary-search-tree-to-sorted-doubly-linked-list,"uploaded LeetCode Binary Tree list, full 180 paste"
431,Encode N-ary Tree to Binary Tree,Hard,80.6%,N-ary/binary encoding,Design encoding from an N-ary tree to a binary tree and decoding back.,https://leetcode.com/problems/encode-n-ary-tree-to-binary-tree/,encode-n-ary-tree-to-binary-tree,"uploaded LeetCode Binary Tree list, full 180 paste"
437,Path Sum III,Medium,46.4%,Prefix-sum path counting,Count downward paths whose node values sum to a target; paths may start anywhere.,https://leetcode.com/problems/path-sum-iii/,path-sum-iii,"uploaded LeetCode Binary Tree list, full 180 paste"
449,Serialize and Deserialize BST,Medium,59.6%,BST serialization,Design serialization and deserialization specialized for BSTs.,https://leetcode.com/problems/serialize-and-deserialize-bst/,serialize-and-deserialize-bst,"uploaded LeetCode Binary Tree list, full 180 paste"
450,Delete Node in a BST,Medium,54.6%,BST update,Delete a node with a given key from a BST while preserving the BST invariant.,https://leetcode.com/problems/delete-node-in-a-bst/,delete-node-in-a-bst,"uploaded LeetCode Binary Tree list, full 180 paste"
501,Find Mode in Binary Search Tree,Easy,58.9%,BST frequency,Find the value or values that occur most frequently in a BST.,https://leetcode.com/problems/find-mode-in-binary-search-tree/,find-mode-in-binary-search-tree,"uploaded LeetCode Binary Tree list, full 180 paste"
508,Most Frequent Subtree Sum,Medium,69.2%,Subtree-sum frequency,Find the subtree-sum value or values that occur most often.,https://leetcode.com/problems/most-frequent-subtree-sum/,most-frequent-subtree-sum,"uploaded LeetCode Binary Tree list, full 180 paste"
510,Inorder Successor in BST II,Medium,61.1%,BST successor with parent,Find the inorder successor of a BST node that includes a parent pointer.,https://leetcode.com/problems/inorder-successor-in-bst-ii/,inorder-successor-in-bst-ii,"uploaded LeetCode Binary Tree list, full 180 paste"
513,Find Bottom Left Tree Value,Medium,72.3%,BFS/DFS view,Find the leftmost value on the deepest level of a binary tree.,https://leetcode.com/problems/find-bottom-left-tree-value/,find-bottom-left-tree-value,"uploaded LeetCode Binary Tree list, full 180 paste"
515,Find Largest Value in Each Tree Row,Medium,66.3%,BFS level aggregation,Return the largest value found on each level of a binary tree.,https://leetcode.com/problems/find-largest-value-in-each-tree-row/,find-largest-value-in-each-tree-row,"uploaded LeetCode Binary Tree list, full 180 paste"
530,Minimum Absolute Difference in BST,Easy,59.3%,BST inorder diff,Find the minimum absolute difference between values of any two BST nodes.,https://leetcode.com/problems/minimum-absolute-difference-in-bst/,minimum-absolute-difference-in-bst,"uploaded LeetCode Binary Tree list, full 180 paste"
536,Construct Binary Tree from String,Medium,58.7%,Construction from string,Construct a binary tree from a parenthesized string representation.,https://leetcode.com/problems/construct-binary-tree-from-string/,construct-binary-tree-from-string,"uploaded LeetCode Binary Tree list, full 180 paste"
538,Convert BST to Greater Tree,Medium,71.6%,BST reverse inorder accumulation,Convert a BST so each node stores its original value plus all greater values.,https://leetcode.com/problems/convert-bst-to-greater-tree/,convert-bst-to-greater-tree,"uploaded LeetCode Binary Tree list, full 180 paste"
543,Diameter of Binary Tree,Easy,65.4%,Postorder aggregate,Compute the diameter: the maximum number of edges on any path between two nodes.,https://leetcode.com/problems/diameter-of-binary-tree/,diameter-of-binary-tree,"uploaded LeetCode Binary Tree list, full 180 paste"
545,Boundary of Binary Tree,Medium,48.1%,Boundary decomposition,"Return the boundary traversal: root, left boundary, leaves, and reversed right boundary.",https://leetcode.com/problems/boundary-of-binary-tree/,boundary-of-binary-tree,"uploaded LeetCode Binary Tree list, full 180 paste"
549,Binary Tree Longest Consecutive Sequence II,Medium,50.1%,Tree DP / consecutive path,Find the longest consecutive path that may increase or decrease through parent-child links.,https://leetcode.com/problems/binary-tree-longest-consecutive-sequence-ii/,binary-tree-longest-consecutive-sequence-ii,"uploaded LeetCode Binary Tree list, full 180 paste"
563,Binary Tree Tilt,Easy,65.8%,Subtree-sum aggregate,"Compute the sum of each node's tilt, where tilt is the absolute difference of left/right subtree sums.",https://leetcode.com/problems/binary-tree-tilt/,binary-tree-tilt,"uploaded LeetCode Binary Tree list, full 180 paste"
572,Subtree of Another Tree,Easy,51.5%,Structural comparison,Check whether one binary tree occurs as an identical subtree of another.,https://leetcode.com/problems/subtree-of-another-tree/,subtree-of-another-tree,"uploaded LeetCode Binary Tree list, full 180 paste"
606,Construct String from Binary Tree,Medium,70.7%,Tree stringification,Create a parenthesized string representation of a binary tree with required empty-child markers.,https://leetcode.com/problems/construct-string-from-binary-tree/,construct-string-from-binary-tree,"uploaded LeetCode Binary Tree list, full 180 paste"
617,Merge Two Binary Trees,Easy,79.1%,Zipped tree merge,Merge two binary trees by summing overlapping nodes and preserving non-overlapping subtrees.,https://leetcode.com/problems/merge-two-binary-trees/,merge-two-binary-trees,"uploaded LeetCode Binary Tree list, full 180 paste"
623,Add One Row to Tree,Medium,64.1%,Mutation / insertion,Insert a row of nodes with a given value at a given depth.,https://leetcode.com/problems/add-one-row-to-tree/,add-one-row-to-tree,"uploaded LeetCode Binary Tree list, full 180 paste"
637,Average of Levels in Binary Tree,Easy,74.9%,BFS level aggregation,Return the average node value for each tree level.,https://leetcode.com/problems/average-of-levels-in-binary-tree/,average-of-levels-in-binary-tree,"uploaded LeetCode Binary Tree list, full 180 paste"
652,Find Duplicate Subtrees,Medium,60.7%,Subtree serialization,Find all duplicate subtrees by structure and values.,https://leetcode.com/problems/find-duplicate-subtrees/,find-duplicate-subtrees,"uploaded LeetCode Binary Tree list, full 180 paste"
653,Two Sum IV - Input is a BST,Easy,63.2%,BST two-sum,Determine whether two values in a BST sum to a target.,https://leetcode.com/problems/two-sum-iv-input-is-a-bst/,two-sum-iv-input-is-a-bst,"uploaded LeetCode Binary Tree list, full 180 paste"
654,Maximum Binary Tree,Medium,86.3%,Construction from array,Build the maximum binary tree from an array by recursively choosing the maximum as root.,https://leetcode.com/problems/maximum-binary-tree/,maximum-binary-tree,"uploaded LeetCode Binary Tree list, full 180 paste"
655,Print Binary Tree,Medium,66.6%,Tree layout,Lay out a binary tree into a 2D string matrix representation.,https://leetcode.com/problems/print-binary-tree/,print-binary-tree,"uploaded LeetCode Binary Tree list, full 180 paste"
662,Maximum Width of Binary Tree,Medium,45.5%,Coordinate / width,Find the maximum width of a binary tree including gaps between end nodes.,https://leetcode.com/problems/maximum-width-of-binary-tree/,maximum-width-of-binary-tree,"uploaded LeetCode Binary Tree list, full 180 paste"
663,Equal Tree Partition,Medium,42.3%,Subtree-sum partition,Determine whether removing one edge can split the tree into two equal-sum parts.,https://leetcode.com/problems/equal-tree-partition/,equal-tree-partition,"uploaded LeetCode Binary Tree list, full 180 paste"
666,Path Sum IV,Medium,62.9%,Encoded path sum,"Given encoded three-digit tree nodes, compute the sum of all root-to-leaf path sums.",https://leetcode.com/problems/path-sum-iv/,path-sum-iv,"uploaded LeetCode Binary Tree list, full 180 paste"
669,Trim a Binary Search Tree,Medium,66.7%,BST trim,Trim a BST so all remaining values lie inside an inclusive range.,https://leetcode.com/problems/trim-a-binary-search-tree/,trim-a-binary-search-tree,"uploaded LeetCode Binary Tree list, full 180 paste"
671,Second Minimum Node In a Binary Tree,Easy,46.1%,Special tree property,Find the second smallest value in a special binary tree where each parent is the smaller child value.,https://leetcode.com/problems/second-minimum-node-in-a-binary-tree/,second-minimum-node-in-a-binary-tree,"uploaded LeetCode Binary Tree list, full 180 paste"
687,Longest Univalue Path,Medium,43.8%,Tree DP / same-value path,Find the longest path where every node has the same value.,https://leetcode.com/problems/longest-univalue-path/,longest-univalue-path,"uploaded LeetCode Binary Tree list, full 180 paste"
700,Search in a Binary Search Tree,Easy,82.6%,BST search,Search a BST for a node with a given value.,https://leetcode.com/problems/search-in-a-binary-search-tree/,search-in-a-binary-search-tree,"uploaded LeetCode Binary Tree list, full 180 paste"
701,Insert into a Binary Search Tree,Medium,73.5%,BST insert,Insert a new value into a BST and return the root.,https://leetcode.com/problems/insert-into-a-binary-search-tree/,insert-into-a-binary-search-tree,"uploaded LeetCode Binary Tree list, full 180 paste"
703,Kth Largest Element in a Stream,Easy,60.9%,Out-of-category stream/heap,Maintain the kth largest value in a stream of integers.,https://leetcode.com/problems/kth-largest-element-in-a-stream/,kth-largest-element-in-a-stream,"uploaded LeetCode Binary Tree list, full 180 paste"
742,Closest Leaf in a Binary Tree,Medium,47.4%,Graph-converted tree,Find the value of the closest leaf to a target node in a binary tree.,https://leetcode.com/problems/closest-leaf-in-a-binary-tree/,closest-leaf-in-a-binary-tree,"uploaded LeetCode Binary Tree list, full 180 paste"
776,Split BST,Medium,82.2%,BST split,Split a BST into two trees: values <= target and values > target.,https://leetcode.com/problems/split-bst/,split-bst,"uploaded LeetCode Binary Tree list, full 180 paste"
783,Minimum Distance Between BST Nodes,Easy,61.3%,BST inorder diff,Find the minimum difference between values of any two BST nodes.,https://leetcode.com/problems/minimum-distance-between-bst-nodes/,minimum-distance-between-bst-nodes,"uploaded LeetCode Binary Tree list, full 180 paste"
814,Binary Tree Pruning,Medium,72.5%,Mutation / pruning,Prune every subtree that does not contain a node with value 1.,https://leetcode.com/problems/binary-tree-pruning/,binary-tree-pruning,"uploaded LeetCode Binary Tree list, full 180 paste"
863,All Nodes Distance K in Binary Tree,Medium,67.6%,Graph-converted tree,Return all node values at distance k from a target node in a binary tree.,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree/,all-nodes-distance-k-in-binary-tree,"uploaded LeetCode Binary Tree list, full 180 paste"
865,Smallest Subtree with all the Deepest Nodes,Medium,77.6%,Deepest-node LCA,Return the smallest subtree containing all deepest nodes.,https://leetcode.com/problems/smallest-subtree-with-all-the-deepest-nodes/,smallest-subtree-with-all-the-deepest-nodes,"uploaded LeetCode Binary Tree list, full 180 paste"
872,Leaf-Similar Trees,Easy,70.2%,Leaf sequence,Check whether two trees have the same left-to-right leaf value sequence.,https://leetcode.com/problems/leaf-similar-trees/,leaf-similar-trees,"uploaded LeetCode Binary Tree list, full 180 paste"
889,Construct Binary Tree from Preorder and Postorder Traversal,Medium,78.1%,Construction from traversals,Construct a binary tree from preorder and postorder traversals under the problem's uniqueness assumptions.,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-postorder-traversal/,construct-binary-tree-from-preorder-and-postorder-traversal,"uploaded LeetCode Binary Tree list, full 180 paste"
894,All Possible Full Binary Trees,Medium,82.8%,Tree generation / Catalan,Generate all possible full binary trees with n nodes.,https://leetcode.com/problems/all-possible-full-binary-trees/,all-possible-full-binary-trees,"uploaded LeetCode Binary Tree list, full 180 paste"
897,Increasing Order Search Tree,Easy,79.0%,BST restructuring,Rearrange a BST into an increasing-order right-child-only tree.,https://leetcode.com/problems/increasing-order-search-tree/,increasing-order-search-tree,"uploaded LeetCode Binary Tree list, full 180 paste"
919,Complete Binary Tree Inserter,Medium,65.0%,Complete tree,Implement insertion into a complete binary tree while preserving completeness.,https://leetcode.com/problems/complete-binary-tree-inserter/,complete-binary-tree-inserter,"uploaded LeetCode Binary Tree list, full 180 paste"
938,Range Sum of BST,Easy,87.6%,BST range query,Return the sum of BST values within an inclusive range.,https://leetcode.com/problems/range-sum-of-bst/,range-sum-of-bst,"uploaded LeetCode Binary Tree list, full 180 paste"
951,Flip Equivalent Binary Trees,Medium,69.5%,Structural comparison,Determine whether two trees are equivalent when any nodes may have their children flipped.,https://leetcode.com/problems/flip-equivalent-binary-trees/,flip-equivalent-binary-trees,"uploaded LeetCode Binary Tree list, full 180 paste"
958,Check Completeness of a Binary Tree,Medium,59.1%,Complete tree,Check whether a binary tree satisfies the complete-tree left-to-right filling property.,https://leetcode.com/problems/check-completeness-of-a-binary-tree/,check-completeness-of-a-binary-tree,"uploaded LeetCode Binary Tree list, full 180 paste"
965,Univalued Binary Tree,Easy,73.0%,Structural value check,Check whether all nodes in a binary tree have the same value.,https://leetcode.com/problems/univalued-binary-tree/,univalued-binary-tree,"uploaded LeetCode Binary Tree list, full 180 paste"
968,Binary Tree Cameras,Hard,47.9%,Tree DP / greedy states,Place the fewest cameras so every tree node is monitored.,https://leetcode.com/problems/binary-tree-cameras/,binary-tree-cameras,"uploaded LeetCode Binary Tree list, full 180 paste"
971,Flip Binary Tree To Match Preorder Traversal,Medium,51.9%,Mutation / preorder matching,"Flip children as needed so a tree's preorder traversal matches a target voyage, or report impossibility.",https://leetcode.com/problems/flip-binary-tree-to-match-preorder-traversal/,flip-binary-tree-to-match-preorder-traversal,"uploaded LeetCode Binary Tree list, full 180 paste"
979,Distribute Coins in Binary Tree,Medium,77.3%,Tree DP / postorder aggregation,Compute the minimum moves needed so every node has exactly one coin by moving coins along edges.,https://leetcode.com/problems/distribute-coins-in-binary-tree/,distribute-coins-in-binary-tree,"uploaded LeetCode Binary Tree list, full 180 paste"
987,Vertical Order Traversal of a Binary Tree,Hard,53.6%,Positional / geometric traversal,Return nodes grouped by vertical column with ordering rules based on row and value.,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree/,vertical-order-traversal-of-a-binary-tree,"uploaded LeetCode Binary Tree list, full 180 paste"
988,Smallest String Starting From Leaf,Medium,61.2%,Root-to-leaf / path state,Find the lexicographically smallest string formed from a leaf up to the root.,https://leetcode.com/problems/smallest-string-starting-from-leaf/,smallest-string-starting-from-leaf,"uploaded LeetCode Binary Tree list, full 180 paste"
993,Cousins in Binary Tree,Easy,59.3%,BFS level traversal,Determine whether two nodes are at the same depth but have different parents.,https://leetcode.com/problems/cousins-in-binary-tree/,cousins-in-binary-tree,"uploaded LeetCode Binary Tree list, full 180 paste"
998,Maximum Binary Tree II,Medium,70.4%,General binary tree,Insert a value into the array-derived maximum binary tree while preserving its construction rule.,https://leetcode.com/problems/maximum-binary-tree-ii/,maximum-binary-tree-ii,"uploaded LeetCode Binary Tree list, full 180 paste"
1008,Construct Binary Search Tree from Preorder Traversal,Medium,84.2%,BST construction / transformation,Build the BST represented by a preorder traversal sequence.,https://leetcode.com/problems/construct-binary-search-tree-from-preorder-traversal/,construct-binary-search-tree-from-preorder-traversal,"uploaded LeetCode Binary Tree list, full 180 paste"
1022,Sum of Root To Leaf Binary Numbers,Easy,76.6%,Root-to-leaf / path state,Interpret each root-to-leaf path as a binary number and sum all such numbers.,https://leetcode.com/problems/sum-of-root-to-leaf-binary-numbers/,sum-of-root-to-leaf-binary-numbers,"uploaded LeetCode Binary Tree list, full 180 paste"
1026,Maximum Difference Between Node and Ancestor,Medium,78.2%,Structural DFS / subtree properties,Find the largest absolute difference between a node and one of its ancestors.,https://leetcode.com/problems/maximum-difference-between-node-and-ancestor/,maximum-difference-between-node-and-ancestor,"uploaded LeetCode Binary Tree list, full 180 paste"
1028,Recover a Tree From Preorder Traversal,Hard,83.2%,Construction / parsing,Reconstruct a binary tree from a preorder string annotated with node depths.,https://leetcode.com/problems/recover-a-tree-from-preorder-traversal/,recover-a-tree-from-preorder-traversal,"uploaded LeetCode Binary Tree list, full 180 paste"
1038,Binary Search Tree to Greater Sum Tree,Medium,88.4%,BST invariant / mutation,Transform each BST node into the sum of all values greater than or equal to it.,https://leetcode.com/problems/binary-search-tree-to-greater-sum-tree/,binary-search-tree-to-greater-sum-tree,"uploaded LeetCode Binary Tree list, full 180 paste"
1080,Insufficient Nodes in Root to Leaf Paths,Medium,55.1%,Root-to-leaf / path state,Prune nodes that do not lie on any root-to-leaf path meeting a limit.,https://leetcode.com/problems/insufficient-nodes-in-root-to-leaf-paths/,insufficient-nodes-in-root-to-leaf-paths,"uploaded LeetCode Binary Tree list, full 180 paste"
