family,problem_count,easy,medium,hard,manual_high,heuristic_high,heuristic_medium,heuristic_low,representative_examples,core_state_shape,core_recurrence_shape,notes
LIS / Sequence Optimization,12,0,7,5,12,0,0,0,300 Longest Increasing Subsequence; 354 Russian Doll Envelopes; 368 Largest Divisible Subset; 446 Arithmetic Slices II - Subsequence; 673 Number of Longest Increasing Subsequence; 1027 Longest Arithmetic Subsequence; 1048 Longest String Chain; 1218 Longest Arithmetic Subsequence of Given Difference,dp[i] or tails[len],choose previous compatible item / binary-search tails,Compatibility + ordering.
Game DP / Minimax Boundary,10,1,5,4,8,2,0,0,486 Predict the Winner; 877 Stone Game; 1025 Divisor Game; 1140 Stone Game II; 1406 Stone Game III; 1510 Stone Game IV; 1563 Stone Game V; 1690 Stone Game VII,dp[state] often dp[l][r],current move vs opponent response,Score difference simplifies minimax.
Stock State-Machine DP,9,1,5,3,9,0,0,0,121 Best Time to Buy and Sell Stock; 122 Best Time to Buy and Sell Stock II; 123 Best Time to Buy and Sell Stock III; 188 Best Time to Buy and Sell Stock IV; 309 Best Time to Buy and Sell Stock with Cooldown; 714 Best Time to Buy and Sell Stock with Transaction Fee; 2291 Maximum Profit From Trading Stocks; 3562 Maximum Profit from Trading Stocks with Discounts,dp[day][holding][constraint-state],buy/sell/hold/rest,State machine; constraints add dimensions.
Subsequence DP,9,0,5,4,0,0,9,0,,varies,varies,Title-inferred family; refine later.
Knapsack / Capacity DP,9,0,4,5,4,5,0,0,473 Matchsticks to Square; 638 Shopping Offers; 698 Partition to K Equal Sum Subsets; 1449 Form Largest Integer With Digits That Add up to Target; 1655 Distribute Repeating Integers; 1681 Minimum Incompatibility; 2143 Choose Numbers From Two Arrays in Range; 2218 Maximum Value of K Coins From Piles,dp[i][capacity] or dp[capacity],include/exclude/repeat,Loop direction encodes 0/1 vs unbounded.
Interval DP,8,0,3,5,2,6,0,0,241 Different Ways to Add Parentheses; 312 Burst Balloons; 375 Guess Number Higher or Lower II; 546 Remove Boxes; 664 Strange Printer; 1000 Minimum Cost to Merge Stones; 1039 Minimum Score Triangulation of Polygon; 1547 Minimum Cost to Cut a Stick,dp[l][r],choose boundary or split k,Increasing interval length.
Graph-as-DP / DAG DP,8,0,2,6,0,2,6,0,1494 Parallel Courses II; 2050 Parallel Courses III,dp[v] or dp[state],relax edges / moves,Requires acyclic order or shortest path machinery.
Palindrome / Subsequence DP,8,0,4,4,8,0,0,0,516 Longest Palindromic Subsequence; 730 Count Different Palindromic Subsequences; 1312 Minimum Insertion Steps to Make a String Palindrome; 1682 Longest Palindromic Subsequence II; 1771 Maximize Palindrome Length From Subsequences; 2002 Maximum Product of the Length of Two Palindromic Subsequences; 2484 Count Palindromic Subsequences; 3472 Longest Palindromic Subsequence After at Most K Operations,varies,varies,Title-inferred family; refine later.
Greedy-DP Boundary,7,0,4,3,4,3,0,0,42 Trapping Rain Water; 45 Jump Game II; 55 Jump Game; 435 Non-overlapping Intervals; 871 Minimum Number of Refueling Stops; 1340 Jump Game V; 3660 Jump Game IX,varies,DP alternative vs greedy invariant,Important misclassification boundary.
House Robber / Weighted Independent Set,6,0,6,0,6,0,0,0,198 House Robber; 213 House Robber II; 337 House Robber III; 740 Delete and Earn; 2560 House Robber IV; 3840 House Robber V,"dp[i] or dfs(node)->(skip,take)",take current or skip current with adjacency constraint,Canonical take/skip family.
Probability DP,6,0,5,1,6,0,0,0,799 Champagne Tower; 808 Soup Servings; 837 New 21 Game; 1227 Airplane Seat Assignment Probability; 1230 Toss Strange Coins; 1467 Probability of a Two Boxes Having The Same Number of Distinct Balls,dp[state] probability,weighted sum transitions,Counting DP over probabilities.
1D Prefix/Suffix DP,5,0,3,2,4,1,0,0,256 Paint House; 265 Paint House II; 1473 Paint House III; 2110 Number of Smooth Descent Periods of a Stock; 3429 Paint House IV,dp[i] over prefix/suffix or finite state,transition from constant number of previous indices/states,Linear states; often rolling compression.
Weighted Interval / Scheduling DP,4,0,2,2,0,4,0,0,1335 Minimum Difficulty of a Job Schedule; 1751 Maximum Number of Events That Can Be Attended II; 2008 Maximum Earnings From Taxi; 2054 Two Best Non-Overlapping Events,varies,varies,Title-inferred family; refine later.
Shortest-Path-Like DP,3,0,2,1,0,3,0,0,787 Cheapest Flights Within K Stops; 1786 Number of Restricted Paths From First to Last Node; 1928 Minimum Cost to Reach Destination in Time,dp[steps][v] or dist state,edge relaxation,Bellman-Ford/Dijkstra-style DP.
DP with Monotonic Deque,3,0,3,0,3,0,0,0,1696 Jump Game VI; 1871 Jump Game VII; 2297 Jump Game VIII,dp[i] with sliding window best,dp[i]=value+max/min dp[j] in window,Deque optimizes transition.
Graph Game DP,2,0,0,2,0,2,0,0,913 Cat and Mouse; 1728 Cat and Mouse II,varies,varies,Title-inferred family; refine later.
Grid DP + Monotonic Stack,1,0,0,1,1,0,0,0,85 Maximal Rectangle,varies,varies,Title-inferred family; refine later.
Substring / Interval DP,1,0,0,1,0,1,0,0,87 Scramble String,varies,varies,Title-inferred family; refine later.
