problem_id,title,difficulty,acceptance_rate_if_available,inferred_family,subfamily,state_shape,recurrence_shape,evaluation_order,transition_cost,likely_time_complexity,likely_space_complexity,top_down_or_bottom_up_preferred,optimization_primitives,representative_or_not,confidence,notes
300,Longest Increasing Subsequence,Medium,59.4%,LIS / Sequence Optimization,Ordered subsequence / chain DP,dp[i] = best chain ending at i or tails[length],choose previous compatible item; or binary-search tails,sorted/index order,O(n) or O(log n),O(n^2) or O(n log n),O(n),bottom-up,patience sorting; parent reconstruction; sort key discipline,representative,manual-high,Compatibility relation defines previous choices; sort order is often the real trick.
309,Best Time to Buy and Sell Stock with Cooldown,Medium,62.0%,Stock State-Machine DP,Stock with cooldown,dp[day][holding][transaction/cooldown/fee state],buy / sell / hold / rest transitions,increasing day,O(number of legal actions per state),O(n * state_count),O(state_count),bottom-up state machine,state compression; greedy if unconstrained,representative,manual-high,Use holding/not-holding as the irreducible state axis; constraints add dimensions or shifted transitions.
312,Burst Balloons,Hard,63.4%,Interval DP,Split-point interval DP,dp[l][r] over interval,choose split/boundary action k,increasing interval length,O(n) split choices,O(n^3) typical,O(n^2),bottom-up by interval length or top-down memo,prefix sums; augmented boundaries; Knuth/monotone if valid,non-representative / later refinement,heuristic-high,"Classic interval DP: if both prefix and suffix seem needed, use intervals."
313,Super Ugly Number,Medium,46.1%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,representative,heuristic-low,Classification inferred from title only; refine when expanding family.
322,Coin Change,Medium,48.4%,Misc / Title-Inferred DP,Coin Change minimum coins,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,representative,heuristic-low,Classification inferred from title only; refine when expanding family.
329,Longest Increasing Path in a Matrix,Hard,56.6%,Grid DP,Row/column path or shape DP,dp[r][c] or dp[step][r][c],combine from neighboring cells / directions,"row-major, reverse, or BFS-like layers",O(neighbor count),O(mn*state),O(n*state) if rolling,bottom-up or memo DFS,rolling rows; prefix sums; direction arrays,representative,manual-high,Grid topology gives natural DAG if moves are acyclic; cyclic movement may require graph shortest path/BFS.
333,Largest BST Subtree,Medium,45.9%,Tree DP,Postorder tree DP,dfs(node) returns one or more states,combine child states at parent,postorder DFS,O(children states),O(n * state_count^2 typical),O(h) recursion plus state storage,recursive postorder,tuple states; rerooting if all-nodes answers,non-representative / later refinement,heuristic-high,Tree edges define dependency DAG from children to parent or reroot passes.
337,House Robber III,Medium,55.9%,House Robber / Weighted Independent Set,Tree MWIS / rob-or-skip node,"dfs(node) -> (skip, take)",take node excludes children; skip node allows child best,postorder tree DFS,O(1) combine per node,O(n),O(h),top-down/postorder recursion,tuple return state,representative,manual-high,Tree variant: state is not prefix; it is subtree with parent constraint encoded as take/skip.
338,Counting Bits,Easy,80.6%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,representative,heuristic-low,Classification inferred from title only; refine when expanding family.
343,Integer Break,Medium,62.3%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,representative,heuristic-low,Classification inferred from title only; refine when expanding family.
351,Android Unlock Patterns,Medium,53.8%,Bitmask DP,Subset/mask DP,dp[mask][extra],add/remove one element or transition bitmask,increasing mask/popcount,O(n) choices,O(n*2^n) typical,O(2^n),top-down or bottom-up,bit operations; precomputed compatibility,non-representative / later refinement,heuristic-high,Mask is likely from subset constraints or bitwise states.
354,Russian Doll Envelopes,Hard,37.9%,LIS / Sequence Optimization,Ordered subsequence / chain DP,dp[i] = best chain ending at i or tails[length],choose previous compatible item; or binary-search tails,sorted/index order,O(n) or O(log n),O(n^2) or O(n log n),O(n),bottom-up,patience sorting; parent reconstruction; sort key discipline,representative,manual-high,Compatibility relation defines previous choices; sort order is often the real trick.
357,Count Numbers with Unique Digits,Medium,55.6%,Digit DP,Digit tight-state DP,dp[pos][tight][started][extra_state],choose next digit respecting tight bound,left-to-right over digits,O(10 * extra_state),O(num_digits * states * 10),O(states),top-down memo usually,tight flag; leading-zero handling,representative,manual-high,Carefully separate started/leading zeros and tight/non-tight states.
361,Bomb Enemy,Medium,52.8%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
368,Largest Divisible Subset,Medium,49.6%,LIS / Sequence Optimization,Ordered subsequence / chain DP,dp[i] = best chain ending at i or tails[length],choose previous compatible item; or binary-search tails,sorted/index order,O(n) or O(log n),O(n^2) or O(n log n),O(n),bottom-up,patience sorting; parent reconstruction; sort key discipline,representative,manual-high,Compatibility relation defines previous choices; sort order is often the real trick.
375,Guess Number Higher or Lower II,Medium,52.7%,Interval DP,Split-point interval DP,dp[l][r] over interval,choose split/boundary action k,increasing interval length,O(n) split choices,O(n^3) typical,O(n^2),bottom-up by interval length or top-down memo,prefix sums; augmented boundaries; Knuth/monotone if valid,non-representative / later refinement,heuristic-high,"Classic interval DP: if both prefix and suffix seem needed, use intervals."
376,Wiggle Subsequence,Medium,49.4%,Subsequence DP,Run/sequence local-global DP,dp[i] with last relation or previous choice,extend compatible previous state or restart,increasing i,O(1) to O(n),O(n) to O(n^2),O(1)/O(n),bottom-up,rolling local state; maps if relation-dependent,non-representative / later refinement,heuristic-medium,General sequence DP; refine per statement.
377,Combination Sum IV,Medium,55.1%,Misc / Title-Inferred DP,Order-sensitive counting / permutations,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,representative,heuristic-low,Classification inferred from title only; refine when expanding family.
392,Is Subsequence,Easy,49.0%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
396,Rotate Function,Medium,54.0%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
397,Integer Replacement,Medium,37.5%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
403,Frog Jump,Hard,47.3%,Graph-as-DP / DAG DP,Reachability/path DP over implicit graph,dp[state],transition over legal moves,topological if acyclic; otherwise BFS/Dijkstra/memo,degree-dependent,state_count * degree,state_count,depends,memoization; shortest path algorithms,non-representative / later refinement,heuristic-medium,Implicit graph may not be a DAG; verify cycles.
410,Split Array Largest Sum,Hard,60.4%,Partition DP,Prefix partition / cut DP,dp[i] or dp[i][k] over first i items/characters,choose previous cut j and combine segment cost,"increasing i, sometimes increasing k",O(n) cut choices,O(n^2) or O(kn^2),O(nk),bottom-up or memo,prefix sums; precomputed segment costs; monotonic optimizations if valid,non-representative / later refinement,heuristic-high,The recurrence is usually min/max over previous cut position.
413,Arithmetic Slices,Medium,64.8%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
416,Partition Equal Subset Sum,Medium,49.5%,Misc / Title-Inferred DP,Subset sum feasibility / closest partition,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,representative,heuristic-low,Classification inferred from title only; refine when expanding family.
418,Sentence Screen Fitting,Medium,36.4%,Partition DP,Prefix partition / cut DP,dp[i] or dp[i][k] over first i items/characters,choose previous cut j and combine segment cost,"increasing i, sometimes increasing k",O(n) cut choices,O(n^2) or O(kn^2),O(nk),bottom-up or memo,prefix sums; precomputed segment costs; monotonic optimizations if valid,non-representative / later refinement,heuristic-high,The recurrence is usually min/max over previous cut position.
435,Non-overlapping Intervals,Medium,57.1%,Greedy-DP Boundary,Interval scheduling greedy boundary,last selected interval end,choose earliest-ending compatible interval,sort by end,O(1),O(n log n),O(1),greedy,sort by end,non-representative / later refinement,heuristic-high,DP-tagged but canonical greedy; weighted version needs DP.
446,Arithmetic Slices II - Subsequence,Hard,55.1%,LIS / Sequence Optimization,Arithmetic subsequence DP,dp[i][difference],extend previous subsequence with same difference,increasing i,O(i) previous choices,O(n^2),O(n^2),bottom-up with maps,hashmap by difference,representative,manual-high,"State requires value difference, not just index."
458,Poor Pigs,Hard,59.1%,Bitmask DP,Subset/mask DP,dp[mask][extra],add/remove one element or transition bitmask,increasing mask/popcount,O(n) choices,O(n*2^n) typical,O(2^n),top-down or bottom-up,bit operations; precomputed compatibility,non-representative / later refinement,heuristic-high,Mask is likely from subset constraints or bitwise states.
464,Can I Win,Medium,31.4%,Bitmask DP,Game minimax over used choices,dp[mask] = winning/score state,current player chooses an unused move,increasing mask size or memo DFS,O(n),O(n*2^n),O(2^n),top-down memo,bitmask encoding,representative,heuristic-high,Finite impartial/choice game; mask encodes remaining moves.
465,Optimal Account Balancing,Hard,50.4%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
466,Count The Repetitions,Hard,34.2%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
467,Unique Substrings in Wraparound String,Medium,43.1%,Tree DP,Postorder tree DP,dfs(node) returns one or more states,combine child states at parent,postorder DFS,O(children states),O(n * state_count^2 typical),O(h) recursion plus state storage,recursive postorder,tuple states; rerooting if all-nodes answers,non-representative / later refinement,heuristic-high,Tree edges define dependency DAG from children to parent or reroot passes.
471,Encode String with Shortest Length,Hard,50.6%,Bitmask DP,Subset/mask DP,dp[mask][extra],add/remove one element or transition bitmask,increasing mask/popcount,O(n) choices,O(n*2^n) typical,O(2^n),top-down or bottom-up,bit operations; precomputed compatibility,non-representative / later refinement,heuristic-high,Mask is likely from subset constraints or bitwise states.
472,Concatenated Words,Hard,49.8%,Partition DP,Prefix partition / cut DP,dp[i] or dp[i][k] over first i items/characters,choose previous cut j and combine segment cost,"increasing i, sometimes increasing k",O(n) cut choices,O(n^2) or O(kn^2),O(nk),bottom-up or memo,prefix sums; precomputed segment costs; monotonic optimizations if valid,non-representative / later refinement,heuristic-high,The recurrence is usually min/max over previous cut position.
473,Matchsticks to Square,Medium,41.8%,Knapsack / Capacity DP,Capacity / choice DP,dp[i][capacity] or compressed dp[capacity],include / exclude / repeat item; aggregate min/max/count,"item-major; reverse loop for 0/1, forward for unbounded",O(1) per item-capacity cell,O(n * capacity),O(capacity) if compressed,bottom-up usually,reverse/forward capacity loop; modulo counts; prefix sums,representative,manual-high,"Loop order determines whether states count combinations, permutations, 0/1, or unbounded choices."
474,Ones and Zeroes,Medium,53.3%,Misc / Title-Inferred DP,2D 0/1 knapsack,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,representative,heuristic-low,Classification inferred from title only; refine when expanding family.
