primary_family,count,example_problems,approach_kinds,series_or_ladders
Parentheses / balance greedy,6,921. Minimum Add to Make Parentheses Valid; 1541. Minimum Insertions to Balance a Parentheses String; 2116. Check if a Parentheses String Can Be Valid; 2645. Minimum Additions to Make Valid String; 3291. Minimum Number of Valid Strings to Form Target I; 3292. Minimum Number of Valid Strings to Form Target II,pure greedy; pure greedy / DP-boundary,Parentheses
Lexicographic monotonic stack,5,316. Remove Duplicate Letters; 321. Create Maximum Number; 402. Remove K Digits; 1081. Smallest Subsequence of Distinct Characters; 1673. Find the Most Competitive Subsequence,greedy + enumeration; greedy + monotonic stack,Lexicographic deletion
Pairing / matching,4,455. Assign Cookies; 870. Advantage Shuffle; 881. Boats to Save People; 2410. Maximum Matching of Players With Trainers,greedy + two pointers/multiset; pure greedy; pure greedy + two pointers,Pairing / matching
Coverage / patching,3,330. Patching Array; 1798. Maximum Number of Consecutive Values You Can Make; 2952. Minimum Number of Coins to be Added,pure greedy,Coverage / patching
Coverage expansion,2,1024. Video Stitching; 1326. Minimum Number of Taps to Open to Water a Garden,pure greedy,Coverage / interval
Cutting cost greedy,2,3218. Minimum Cost for Cutting Cake I; 3219. Minimum Cost for Cutting Cake II,pure greedy,Ordering / cuts
Deadline scheduling,2,1353. Maximum Number of Events That Can Be Attended; 1705. Maximum Number of Eaten Apples,greedy + heap,Scheduling; Scheduling / perishables
Delta sorting,2,1029. Two City Scheduling; 2611. Mice and Cheese,pure greedy,Delta sorting
Game theory / resource removal,2,1753. Maximum Score From Removing Stones; 1962. Remove Stones to Minimize the Total,game theory or heap greedy,Stone Game / stones
Interval heap / active set,2,253. Meeting Rooms II; 2406. Divide Intervals Into Minimum Number of Groups,greedy + heap,Interval
Interval scheduling,2,435. Non-overlapping Intervals; 646. Maximum Length of Pair Chain,pure greedy,Interval
Ratio/score heap selection,2,1383. Maximum Performance of a Team; 2542. Maximum Subsequence Score,greedy + heap,Heap-greedy / selection
Stock / transaction greedy-DP boundary,2,122. Best Time to Buy and Sell Stock II; 714. Best Time to Buy and Sell Stock with Transaction Fee,greedy-DP hybrid; pure greedy,Stock
Binary search + coverage difference,1,2528. Maximize the Minimum Powered City,binary search + greedy,Coverage / binary search
Binary search + greedy matching,1,2071. Maximum Number of Tasks You Can Assign,binary search + greedy,Matching / binary search
Binary search + greedy pairing,1,2616. Minimize the Maximum Difference of Pairs,binary search + greedy,Pairing / binary search
Comparator sorting greedy,1,179. Largest Number,sorting greedy,Lexicographic / ordering
Consecutive group construction,1,846. Hand of Straights,greedy + ordered map,Frequency / construction
Consecutive subsequence construction,1,659. Split Array into Consecutive Subsequences,greedy + hash maps,Frequency / construction
DP boundary / wildcard matching,1,44. Wildcard Matching,greedy + backtracking or DP,Wildcard/string matching
Deadline ordering,1,1921. Eliminate Maximum Number of Monsters,pure greedy,Scheduling
Frequency scheduling / cooldown,1,358. Rearrange String k Distance Apart,greedy + heap,Task scheduling / cooldown
Frequency scheduling / no adjacent equal,1,767. Reorganize String,greedy + heap,Task scheduling / cooldown
Future deadline scheduling,1,1488. Avoid Flood in The City,greedy + ordered set,Scheduling / resource
Game scoring greedy,1,1686. Stone Game VI,game-theoretic greedy,Stone Game
Game theory / residue counts,1,2029. Stone Game IX,game theory + greedy counts,Stone Game
Heap greedy / capital unlocking,1,502. IPO,greedy + heap,Heap-greedy
Heap greedy / refueling,1,871. Minimum Number of Refueling Stops,greedy + heap,Heap-greedy / coverage
Heap greedy / resource allocation,1,1642. Furthest Building You Can Reach,greedy + heap,Heap-greedy
Huffman merge greedy,1,1167. Minimum Cost to Connect Sticks,greedy + heap,Huffman / merge cost
Interval heap / coverage demand,1,3362. Zero Array Transformation III,greedy + heap,Coverage / intervals
Interval scheduling with required time points,1,2589. Minimum Time to Complete All Tasks,greedy + interval marking,Scheduling / interval
Interval stabbing,1,452. Minimum Number of Arrows to Burst Balloons,pure greedy,Interval
Interval stabbing with multiplicity,1,757. Set Intersection Size At Least Two,pure greedy,Interval
K-way merge / heap window,1,632. Smallest Range Covering Elements from K Lists,heap + greedy,Heap/window
Marginal gain heap,1,1792. Maximum Average Pass Ratio,greedy + heap,Heap-greedy / marginal
Marginal reduction heap,1,2208. Minimum Operations to Halve Array Sum,greedy + heap,Heap-greedy / marginal
Median/ones movement,1,3086. Minimum Moves to Pick K Ones,greedy + prefix sums,Adjacent swaps / median
Ordering by marginal contribution,1,1402. Reducing Dishes,sorting greedy / DP boundary,Ordering / marginal
Ordering by tail time,1,2136. Earliest Possible Day of Full Bloom,pure greedy,Scheduling
Parentheses range feasibility,1,678. Valid Parenthesis String,pure greedy,Parentheses
Partition by last occurrence,1,763. Partition Labels,pure greedy,Coverage / partition
Prefix surplus repair,1,2599. Make the Prefix Sum Non-negative,greedy + heap,Prefix repair
Ratio sorting + heap,1,857. Minimum Cost to Hire K Workers,greedy + heap,Knapsack-like selection
Replacement heap scheduling,1,630. Course Schedule III,greedy + replacement heap,Scheduling
Resource surplus / circular feasibility,1,134. Gas Station,pure greedy,Gas station / circular surplus
Reverse greedy partitioning,1,2366. Minimum Replacements to Sort the Array,pure greedy,Array transformation
Top-k with replacement,1,2813. Maximum Elegance of a K-Length Subsequence,greedy + replacement heap,Heap-greedy / selection
Two-pass local constraint repair,1,135. Candy,greedy + two passes,Candy / local constraints
Two-pointer geometry greedy,1,11. Container With Most Water,pure greedy + two pointers,Container / two-pointer area
Water-filling heap greedy,1,2233. Maximum Product After K Increments,greedy + heap,Heap-greedy / equalization
