problem_id,title,difficulty,acceptance_percent,leetcode_url,primary_family,subfamily,canonical_reduction,primary_primitives,proof_style,approach_kind,series_or_ladder,practice_priority,notes_traps,classification_confidence
581,Shortest Unsorted Continuous Subarray,Medium,38.2,https://leetcode.com/problems/shortest-unsorted-continuous-subarray/,Array transformation / partition greedy,"Prefix/suffix repair, partitioning, or subsequence choice","Scan with prefix/suffix state, repair violations, or greedily partition when invariant boundary is met.",prefix/suffix state; local repair; partition boundary; monotonic subsequence,stays-ahead / exchange / local feasibility,greedy or greedy-DP boundary,Array partition/transformation,Medium,Review exact statement; this row is inferred from title.,heuristic
605,Can Place Flowers,Easy,29.1,https://leetcode.com/problems/can-place-flowers/,Sorting / choice greedy,General greedy ordering,Sort or scan candidates and apply a locally safe choice/dominance rule.,sorted candidate stream; local safe choice; dominance skip,exchange / dominance,pure greedy or sorting greedy,,Low,Review exact statement; this row is inferred from title.,heuristic
611,Valid Triangle Number,Medium,56.9,https://leetcode.com/problems/valid-triangle-number/,Pairing / matching / delta sorting,"Pair extremes, smallest sufficient match, or opportunity-cost sorting","Sort both sides; match smallest sufficient resource, pair extremes, or choose top deltas.",two pointers; pair extremes; smallest sufficient resource; delta sorting,exchange argument,pure greedy + sorting/two pointers,Pairing / matching,Medium,Review exact statement; this row is inferred from title.,heuristic
621,Task Scheduler,Medium,63.0,https://leetcode.com/problems/task-scheduler/,Interval / coverage / scheduling,"Intervals, deadlines, coverage, or active-set scheduling","Sort by endpoint/start/deadline, then keep earliest finish, expand coverage, or use an active heap.",sort by endpoint; coverage frontier; active interval heap; deadline first,exchange / stays-ahead / sweep invariant,"greedy, greedy + heap, or binary search + greedy",Interval / scheduling / coverage,Medium,Review exact statement; this row is inferred from title.,heuristic
624,Maximum Distance in Arrays,Medium,45.6,https://leetcode.com/problems/maximum-distance-in-arrays/,Array transformation / partition greedy,"Prefix/suffix repair, partitioning, or subsequence choice","Scan with prefix/suffix state, repair violations, or greedily partition when invariant boundary is met.",prefix/suffix state; local repair; partition boundary; monotonic subsequence,stays-ahead / exchange / local feasibility,greedy or greedy-DP boundary,Array partition/transformation,Medium,Review exact statement; this row is inferred from title.,heuristic
625,Minimum Factorization,Medium,34.0,https://leetcode.com/problems/minimum-factorization/,Sorting / choice greedy,General greedy ordering,Sort or scan candidates and apply a locally safe choice/dominance rule.,sorted candidate stream; local safe choice; dominance skip,exchange / dominance,pure greedy or sorting greedy,,Medium,Review exact statement; this row is inferred from title.,heuristic
630,Course Schedule III,Hard,41.7,https://leetcode.com/problems/course-schedule-iii/,Replacement heap scheduling,Course Schedule III,Process by deadline; keep chosen durations; replace longest if over deadline.,sort by deadline; max-heap chosen durations; replace worst,exchange argument,greedy + replacement heap,Scheduling,Very High,"Replacement, not simple acceptance, is the primitive.",manual-high
632,Smallest Range Covering Elements from K Lists,Hard,70.1,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists/,K-way merge / heap window,Smallest range covering K lists,Maintain one element from each list; advance the list with current minimum.,min-heap; current max; sliding k-way window,stays-ahead,heap + greedy,Heap/window,Medium,This is more heap-window than pure greedy.,manual-high
646,Maximum Length of Pair Chain,Medium,61.7,https://leetcode.com/problems/maximum-length-of-pair-chain/,Interval scheduling,Pair chain,Sort by second; greedily choose earliest-ending chain member.,sort by end; last_end,exchange argument,pure greedy,Interval,High,LIS-style DP exists; greedy is simpler for this variant.,manual-high
649,Dota2 Senate,Medium,49.8,https://leetcode.com/problems/dota2-senate/,Sorting / choice greedy,General greedy ordering,Sort or scan candidates and apply a locally safe choice/dominance rule.,sorted candidate stream; local safe choice; dominance skip,exchange / dominance,pure greedy or sorting greedy,,Medium,Review exact statement; this row is inferred from title.,heuristic
659,Split Array into Consecutive Subsequences,Medium,52.1,https://leetcode.com/problems/split-array-into-consecutive-subsequences/,Consecutive subsequence construction,Split into consecutive subsequences,Extend existing subsequence ending at x-1 before starting a new length-3 one.,frequency map; need map; demand before supply,exchange / obligation first,greedy + hash maps,Frequency / construction,Very High,Always satisfy existing need first; otherwise strands short subsequences.,manual-high
670,Maximum Swap,Medium,52.0,https://leetcode.com/problems/maximum-swap/,Lexicographic / monotonic construction,"Smallest/largest string, number, or subsequence","Use monotonic stack, comparator sorting, or constructive scan to preserve feasibility while improving lexicographic order.",monotonic stack; remaining counts; used set; comparator sorting; deletion budget,exchange + feasibility preservation,greedy + monotonic stack / sorting,Lexicographic Greedy,Medium,Review exact statement; this row is inferred from title.,heuristic
678,Valid Parenthesis String,Medium,40.1,https://leetcode.com/problems/valid-parenthesis-string/,Parentheses range feasibility,Valid parenthesis string,Track min/max possible open count under wildcard choices.,range state; lower/upper open count,feasibility interval,pure greedy,Parentheses,High,Clamp lower bound at zero; upper below zero fails.,manual-high
680,Valid Palindrome II,Easy,44.2,https://leetcode.com/problems/valid-palindrome-ii/,Palindrome construction / counting,"Use counts, center choice, or two-pointer repair",Use frequency parity or symmetric two-pointer operations to maximize/minimize palindrome construction.,frequency counts; parity invariant; pair from extremes; center choice,parity invariant / exchange,counting greedy or two-pointer greedy,Palindrome,Low,Review exact statement; this row is inferred from title.,heuristic
714,Best Time to Buy and Sell Stock with Transaction Fee,Medium,71.9,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee/,Stock / transaction greedy-DP boundary,Unlimited transactions with fee,Maintain effective buy price / cash-hold state; fee shifts sell threshold.,running best buy; profit state; positive delta with fee,DP-state compression,greedy-DP hybrid,Stock,High,Often clearer as 2-state DP; greedy form is compressed DP.,manual-high
738,Monotone Increasing Digits,Medium,49.6,https://leetcode.com/problems/monotone-increasing-digits/,Lexicographic / monotonic construction,"Smallest/largest string, number, or subsequence","Use monotonic stack, comparator sorting, or constructive scan to preserve feasibility while improving lexicographic order.",monotonic stack; remaining counts; used set; comparator sorting; deletion budget,exchange + feasibility preservation,greedy + monotonic stack / sorting,Lexicographic Greedy,Medium,Review exact statement; this row is inferred from title.,heuristic
757,Set Intersection Size At Least Two,Hard,58.0,https://leetcode.com/problems/set-intersection-size-at-least-two/,Interval stabbing with multiplicity,Set intersection size at least two,"Sort intervals; maintain last two chosen points, add from right endpoint as needed.",sort by end; rightmost chosen points; multiplicity demand,exchange argument,pure greedy,Interval,High,"Need two points, so single-arrow logic is insufficient.",manual-high
763,Partition Labels,Medium,81.9,https://leetcode.com/problems/partition-labels/,Partition by last occurrence,Partition Labels,Extend current segment to max last occurrence of seen chars.,last position map; coverage frontier; segment close,stays-ahead,pure greedy,Coverage / partition,Very High,Close segment only when i == farthest last occurrence.,manual-high
765,Couples Holding Hands,Hard,59.4,https://leetcode.com/problems/couples-holding-hands/,Pairing / matching / delta sorting,"Pair extremes, smallest sufficient match, or opportunity-cost sorting","Sort both sides; match smallest sufficient resource, pair extremes, or choose top deltas.",two pointers; pair extremes; smallest sufficient resource; delta sorting,exchange argument,pure greedy + sorting/two pointers,Pairing / matching,High,Review exact statement; this row is inferred from title.,heuristic
767,Reorganize String,Medium,57.1,https://leetcode.com/problems/reorganize-string/,Frequency scheduling / no adjacent equal,Reorganize string,Repeatedly pick most frequent char not equal to previous.,max-heap; frequency counts; cooldown size 1,exchange / feasibility,greedy + heap,Task scheduling / cooldown,High,Feasibility condition max_freq <= ceil(n/2).,manual-high
768,Max Chunks To Make Sorted II,Hard,54.8,https://leetcode.com/problems/max-chunks-to-make-sorted-ii/,Sorting / choice greedy,General greedy ordering,Sort or scan candidates and apply a locally safe choice/dominance rule.,sorted candidate stream; local safe choice; dominance skip,exchange / dominance,pure greedy or sorting greedy,,High,Review exact statement; this row is inferred from title.,heuristic
769,Max Chunks To Make Sorted,Medium,64.2,https://leetcode.com/problems/max-chunks-to-make-sorted/,Sorting / choice greedy,General greedy ordering,Sort or scan candidates and apply a locally safe choice/dominance rule.,sorted candidate stream; local safe choice; dominance skip,exchange / dominance,pure greedy or sorting greedy,,Medium,Review exact statement; this row is inferred from title.,heuristic
781,Rabbits in Forest,Medium,58.1,https://leetcode.com/problems/rabbits-in-forest/,Sorting / choice greedy,General greedy ordering,Sort or scan candidates and apply a locally safe choice/dominance rule.,sorted candidate stream; local safe choice; dominance skip,exchange / dominance,pure greedy or sorting greedy,,Medium,Review exact statement; this row is inferred from title.,heuristic
807,Max Increase to Keep City Skyline,Medium,86.4,https://leetcode.com/problems/max-increase-to-keep-city-skyline/,Sorting / choice greedy,General greedy ordering,Sort or scan candidates and apply a locally safe choice/dominance rule.,sorted candidate stream; local safe choice; dominance skip,exchange / dominance,pure greedy or sorting greedy,,Medium,Review exact statement; this row is inferred from title.,heuristic
826,Most Profit Assigning Work,Medium,56.2,https://leetcode.com/problems/most-profit-assigning-work/,Heap greedy / deferred choice,"Choose best available, marginal gain, or replacement candidate","Sort/unlock candidates, then use heap to choose best currently available or replace worst selected.",available candidates heap; max marginal gain; replacement heap; bottleneck threshold,deferred greedy / exchange / threshold,greedy + heap,Heap-greedy,Medium,Review exact statement; this row is inferred from title.,heuristic
846,Hand of Straights,Medium,57.9,https://leetcode.com/problems/hand-of-straights/,Consecutive group construction,Hand of Straights,Process smallest remaining card and consume a length-k run.,ordered counts; smallest-first; demand construction,exchange / smallest obligation,greedy + ordered map,Frequency / construction,High,Always start from smallest remaining; otherwise it can never be used later.,manual-high
857,Minimum Cost to Hire K Workers,Hard,63.6,https://leetcode.com/problems/minimum-cost-to-hire-k-workers/,Ratio sorting + heap,Minimum Cost to Hire K Workers,Sort by wage/quality ratio; keep smallest total quality among eligible workers.,sort by ratio; max-heap selected qualities; replacement heap,exchange / threshold,greedy + heap,Knapsack-like selection,High,Current ratio sets pay rate for all selected workers.,manual-high
860,Lemonade Change,Easy,59.1,https://leetcode.com/problems/lemonade-change/,Sorting / choice greedy,General greedy ordering,Sort or scan candidates and apply a locally safe choice/dominance rule.,sorted candidate stream; local safe choice; dominance skip,exchange / dominance,pure greedy or sorting greedy,,Low,Review exact statement; this row is inferred from title.,heuristic
861,Score After Flipping Matrix,Medium,80.3,https://leetcode.com/problems/score-after-flipping-matrix/,Constructive matrix/tree/graph greedy,Structural construction or assignment,Use local degree/row/column/path constraints to construct or maximize under structural invariants.,degree sorting; row/column residuals; local repair; structural invariant,exchange / invariant construction,constructive greedy / hybrid,Constructive structures,Medium,Review exact statement; this row is inferred from title.,heuristic
870,Advantage Shuffle,Medium,54.5,https://leetcode.com/problems/advantage-shuffle/,Pairing / matching,Advantage Shuffle,Use smallest number that beats target; otherwise sacrifice smallest.,sorted multiset; smallest sufficient resource,exchange argument,greedy + two pointers/multiset,Pairing / matching,High,"Classic “win if cheap, otherwise sacrifice” pattern.",manual-high
871,Minimum Number of Refueling Stops,Hard,41.4,https://leetcode.com/problems/minimum-number-of-refueling-stops/,Heap greedy / refueling,Minimum refueling stops,"Drive until forced; among passed stations, use largest fuel.",deferred greedy; max-heap gains; reach frontier,stays-ahead,greedy + heap,Heap-greedy / coverage,Very High,Refuel from past stations only when forced.,manual-high
881,Boats to Save People,Medium,61.7,https://leetcode.com/problems/boats-to-save-people/,Pairing / matching,Boats to Save People,Pair heaviest with lightest if possible; otherwise heaviest goes alone.,pair extremes; capacity feasibility,exchange argument,pure greedy + two pointers,Pairing / matching,Very High,Always decide the heaviest remaining person.,manual-high
910,Smallest Range II,Medium,37.9,https://leetcode.com/problems/smallest-range-ii/,Sorting / choice greedy,General greedy ordering,Sort or scan candidates and apply a locally safe choice/dominance rule.,sorted candidate stream; local safe choice; dominance skip,exchange / dominance,pure greedy or sorting greedy,,Medium,Review exact statement; this row is inferred from title.,heuristic
921,Minimum Add to Make Parentheses Valid,Medium,74.4,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid/,Parentheses / balance greedy,Balance repair or wildcard feasibility,Track open balance or feasible open range and repair deficits locally.,running balance; min/max open range; insertion/deletion repair,balance invariant / feasibility interval,pure greedy,Parentheses,Medium,Review exact statement; this row is inferred from title.,heuristic
936,Stamping The Sequence,Hard,62.3,https://leetcode.com/problems/stamping-the-sequence/,Sorting / choice greedy,General greedy ordering,Sort or scan candidates and apply a locally safe choice/dominance rule.,sorted candidate stream; local safe choice; dominance skip,exchange / dominance,pure greedy or sorting greedy,,High,Review exact statement; this row is inferred from title.,heuristic
942,DI String Match,Easy,81.0,https://leetcode.com/problems/di-string-match/,Lexicographic / monotonic construction,"Smallest/largest string, number, or subsequence","Use monotonic stack, comparator sorting, or constructive scan to preserve feasibility while improving lexicographic order.",monotonic stack; remaining counts; used set; comparator sorting; deletion budget,exchange + feasibility preservation,greedy + monotonic stack / sorting,Lexicographic Greedy,Low,Review exact statement; this row is inferred from title.,heuristic
945,Minimum Increment to Make Array Unique,Medium,60.7,https://leetcode.com/problems/minimum-increment-to-make-array-unique/,Array transformation / partition greedy,"Prefix/suffix repair, partitioning, or subsequence choice","Scan with prefix/suffix state, repair violations, or greedily partition when invariant boundary is met.",prefix/suffix state; local repair; partition boundary; monotonic subsequence,stays-ahead / exchange / local feasibility,greedy or greedy-DP boundary,Array partition/transformation,Medium,Review exact statement; this row is inferred from title.,heuristic
948,Bag of Tokens,Medium,59.6,https://leetcode.com/problems/bag-of-tokens/,Sorting / choice greedy,General greedy ordering,Sort or scan candidates and apply a locally safe choice/dominance rule.,sorted candidate stream; local safe choice; dominance skip,exchange / dominance,pure greedy or sorting greedy,,Medium,Review exact statement; this row is inferred from title.,heuristic
954,Array of Doubled Pairs,Medium,39.8,https://leetcode.com/problems/array-of-doubled-pairs/,Pairing / matching / delta sorting,"Pair extremes, smallest sufficient match, or opportunity-cost sorting","Sort both sides; match smallest sufficient resource, pair extremes, or choose top deltas.",two pointers; pair extremes; smallest sufficient resource; delta sorting,exchange argument,pure greedy + sorting/two pointers,Pairing / matching,Medium,Review exact statement; this row is inferred from title.,heuristic
955,Delete Columns to Make Sorted II,Medium,49.7,https://leetcode.com/problems/delete-columns-to-make-sorted-ii/,Constructive matrix/tree/graph greedy,Structural construction or assignment,Use local degree/row/column/path constraints to construct or maximize under structural invariants.,degree sorting; row/column residuals; local repair; structural invariant,exchange / invariant construction,constructive greedy / hybrid,Constructive structures,Medium,Review exact statement; this row is inferred from title.,heuristic
969,Pancake Sorting,Medium,71.8,https://leetcode.com/problems/pancake-sorting/,Sorting / choice greedy,General greedy ordering,Sort or scan candidates and apply a locally safe choice/dominance rule.,sorted candidate stream; local safe choice; dominance skip,exchange / dominance,pure greedy or sorting greedy,,Medium,Review exact statement; this row is inferred from title.,heuristic
976,Largest Perimeter Triangle,Easy,62.2,https://leetcode.com/problems/largest-perimeter-triangle/,Pairing / matching / delta sorting,"Pair extremes, smallest sufficient match, or opportunity-cost sorting","Sort both sides; match smallest sufficient resource, pair extremes, or choose top deltas.",two pointers; pair extremes; smallest sufficient resource; delta sorting,exchange argument,pure greedy + sorting/two pointers,Pairing / matching,Low,Review exact statement; this row is inferred from title.,heuristic
984,String Without AAA or BBB,Medium,45.2,https://leetcode.com/problems/string-without-aaa-or-bbb/,Frequency / counting / string construction,"Counts, buckets, cooldown, or repeat limits",Use counts to construct a feasible/maximal object while preserving future availability.,frequency map; bucket ordering; cooldown; repeat-limit breaker; remaining demand,exchange / feasibility preservation,greedy + counting/heap,Frequency/String,Medium,Review exact statement; this row is inferred from title.,heuristic
991,Broken Calculator,Medium,56.1,https://leetcode.com/problems/broken-calculator/,Sorting / choice greedy,General greedy ordering,Sort or scan candidates and apply a locally safe choice/dominance rule.,sorted candidate stream; local safe choice; dominance skip,exchange / dominance,pure greedy or sorting greedy,,Medium,Review exact statement; this row is inferred from title.,heuristic
1005,Maximize Sum Of Array After K Negations,Easy,53.8,https://leetcode.com/problems/maximize-sum-of-array-after-k-negations/,Numeric / bitwise greedy,"Digit, bit, residue, or marginal numeric optimization",Use residue/bit contribution or marginal gains to maximize/minimize numeric objective.,bit contribution; residue counts; marginal gain; digit replacement,exchange / contribution dominance / invariant,numeric greedy / bit greedy / hybrid,Numeric / bitwise,Low,Review exact statement; this row is inferred from title.,heuristic
1007,Minimum Domino Rotations For Equal Row,Medium,56.5,https://leetcode.com/problems/minimum-domino-rotations-for-equal-row/,Pairing / matching / delta sorting,"Pair extremes, smallest sufficient match, or opportunity-cost sorting","Sort both sides; match smallest sufficient resource, pair extremes, or choose top deltas.",two pointers; pair extremes; smallest sufficient resource; delta sorting,exchange argument,pure greedy + sorting/two pointers,Pairing / matching,Medium,Review exact statement; this row is inferred from title.,heuristic
1013,Partition Array Into Three Parts With Equal Sum,Easy,42.7,https://leetcode.com/problems/partition-array-into-three-parts-with-equal-sum/,Numeric / bitwise greedy,"Digit, bit, residue, or marginal numeric optimization",Use residue/bit contribution or marginal gains to maximize/minimize numeric objective.,bit contribution; residue counts; marginal gain; digit replacement,exchange / contribution dominance / invariant,numeric greedy / bit greedy / hybrid,Numeric / bitwise,Low,Review exact statement; this row is inferred from title.,heuristic
